time_id,rmse,mae,mda
2553,1.7025671200851853e-05,1.5071716038137064e-05,0.8
3270,2.177260992712363e-05,1.7161527536545962e-05,0.6
4052,1.2465018138504684e-05,9.833444292383043e-06,1.0
4140,1.3481643417526107e-05,1.2295724315198534e-05,1.0
4173,2.0047013714281582e-05,1.7283828812350464e-05,0.8
4265,3.540057922743454e-05,2.1204608772465793e-05,0.8
4661,2.1468739954993056e-05,2.0720338953187873e-05,1.0
4797,3.003556046950089e-05,2.5876672970353053e-05,0.8
5141,5.293770570063092e-05,4.364887232583165e-05,0.6
5193,2.836625677365115e-05,2.491222709005274e-05,1.0
5539,1.7128325209453943e-05,1.6370450293813627e-05,0.8
5817,5.117626540826819e-05,3.938397584791909e-05,1.0
5825,8.239978589423511e-06,6.429590206729108e-06,1.0
5910,3.5067355833417075e-05,2.6146610343399058e-05,0.8
6020,1.7435184947260193e-05,1.4936803957931783e-05,0.8
6235,1.3651442458202897e-05,1.0481343061413782e-05,0.8
7624,3.476360681198484e-05,2.640084135368258e-05,1.0
7629,3.743838735588647e-05,2.8665930804875302e-05,0.8
7674,3.3247801665911594e-05,2.6684165017291702e-05,0.8
8009,4.926299379726907e-06,3.37511476914378e-06,1.0
8554,1.470086957419663e-05,1.1688770436568676e-05,0.8
9038,1.2306505525228197e-05,9.576091922059961e-06,1.0
10070,1.2473349348766885e-05,9.068905522025686e-06,1.0
10491,3.767424301774358e-05,2.2681156058184e-05,0.6
10523,0.0002652715155475044,0.00013285520932852774,0.8
10610,1.6074190437464706e-05,1.1017391135830255e-05,1.0
10994,1.4864610199441475e-05,1.170998808249297e-05,1.0
11007,6.990013270478692e-05,4.398604477659463e-05,1.0
11096,3.59989479502165e-05,2.677779636045534e-05,0.8
11607,5.398704052600601e-05,3.133349870948865e-05,0.8
11722,1.376576603467453e-05,1.2035983126634515e-05,0.8
12206,5.954790117754663e-06,5.330478181579752e-06,0.8
12780,3.690380639211289e-05,2.9054778500932214e-05,1.0
13598,8.546346096912044e-05,5.813436813419491e-05,1.0
13643,4.142686774349447e-05,3.718068717331098e-05,0.8
13771,5.09543148065559e-05,2.477937233030058e-05,1.0
13928,1.2764052906085363e-05,9.755396243110455e-06,1.0
14218,1.7443585709962202e-05,1.2786742690993445e-05,1.0
14420,2.857084643306099e-05,2.484393812477825e-05,0.8
14913,2.957622923803342e-05,2.262414091295426e-05,0.8
15209,2.7365872770111668e-05,2.285454754224419e-05,0.8
15319,3.096813941939244e-05,2.176018242645855e-05,1.0
15499,3.082934584253181e-05,2.0677229818352925e-05,1.0
16526,2.4523425828427917e-05,1.7869194891030548e-05,1.0
17076,9.2805012084752e-05,7.145072861851367e-05,0.8
17120,2.0165512807476737e-05,1.6108117172103236e-05,1.0
17490,3.057748756339387e-05,2.31542607594139e-05,0.6
17522,5.5727459019011586e-05,4.4768159143829675e-05,1.0
17987,0.00010246087101043415,7.761397001526529e-05,0.8
18072,6.889430047442213e-06,4.946444395754838e-06,1.0
18088,1.5553614518277805e-05,1.4056929724703102e-05,1.0
18629,9.396660252543427e-06,7.604070374582126e-06,1.0
18831,5.915390554479659e-05,3.679298136822371e-05,0.8
18940,2.3218269552979177e-05,1.9109597161715435e-05,0.8
18955,2.363898984986156e-05,2.000427873396573e-05,0.6
20227,4.091092408328517e-05,3.34138209538559e-05,1.0
20317,9.749909170510451e-05,7.194825996278694e-05,0.6
20329,3.62173603720704e-05,2.91081145153835e-05,0.8
20953,3.0940343327666846e-05,2.282393526700753e-05,0.4
21208,7.750075273410625e-06,6.803150435733213e-06,1.0
21248,2.2165451392153052e-05,2.1132139983520788e-05,1.0
21734,5.0277286460843155e-06,3.896451514165378e-06,1.0
21777,0.0001642444513902717,0.00010946380516571655,0.8
21883,1.0972549317414207e-05,9.754396458128149e-06,0.6
21897,3.6524702559912615e-05,2.0818778001730815e-05,1.0
21990,1.0644273077239219e-05,9.192016009416365e-06,0.6
22542,1.7277532222788455e-05,1.3260397986853651e-05,0.8
22638,4.1576090200618055e-05,3.5788310530539986e-05,0.8
22884,4.563223813810541e-05,2.4849576928177278e-05,0.8
23598,4.702190040129401e-05,4.052900062590945e-05,1.0
23794,3.02675886654774e-05,2.285030099371837e-05,1.0
24351,1.7636953817800497e-05,1.4578075221469885e-05,0.8
24497,1.5044065218314258e-05,1.1065621953170067e-05,1.0
24775,2.3227253436901026e-05,1.5505383878899003e-05,1.0
24949,5.709295733387542e-05,3.676998862561142e-05,1.0
24989,8.358289741959854e-05,3.82732682966217e-05,1.0
25030,3.152076177973309e-05,2.1633159676958912e-05,1.0
25059,1.906709589072393e-05,1.2512976596427208e-05,1.0
25639,1.4275339323255706e-05,1.0378275629369515e-05,1.0
25773,1.6769852039835433e-05,1.5420226929623572e-05,1.0
26125,2.0771040206405308e-05,1.719269082941e-05,1.0
26494,1.3143874577551985e-05,1.0159510089731091e-05,1.0
26944,6.067176529441087e-05,4.3880791699790734e-05,0.8
27095,1.0860716556307851e-05,7.406917629380263e-06,0.8
27403,3.902842785497395e-05,2.4714512307663778e-05,0.8
27514,9.661665102697639e-05,6.738089480781717e-05,0.8
27846,3.708974634309079e-05,2.4755031393877098e-05,0.8
28837,4.356935957517161e-05,3.920860271764324e-05,1.0
30212,2.920535474629765e-05,2.301024244701391e-05,0.8
30986,4.43295887627573e-05,3.7569892859411425e-05,0.8
31348,1.424586527376226e-05,1.1173552054061803e-05,1.0
32466,0.00010114594463584991,7.535635131203644e-05,1.0
213,0.00010942233648550317,8.464486275905196e-05,1.0
545,2.9768246944572515e-05,2.6251718876937843e-05,0.8
627,3.946541761769653e-05,3.237201636664385e-05,0.6
957,3.9955927456699025e-05,3.389048750416846e-05,1.0
1191,0.00011779197788061924,9.37187517584468e-05,1.0
1198,6.546517477164014e-05,4.869026883508535e-05,0.8
1980,0.00026314712775863693,0.00015332119237597696,1.0
2183,5.453341845226604e-05,4.125474706124596e-05,0.8
2458,3.774386704594574e-05,2.8319874421190892e-05,1.0
2510,4.635145546801805e-05,4.127987670471393e-05,0.4
3033,0.0001020048110167945,7.872846723978286e-05,0.6
3318,6.136154319715232e-05,4.6254847004029436e-05,0.8
3414,0.0001529588582542371,9.068902827954627e-05,0.8
3703,0.00012561023809395757,0.00010738007547091731,0.6
4038,0.0001983211357190111,0.0001177808133481922,0.6
4067,5.6335019105344695e-05,3.744195692163907e-05,0.8
4103,2.3505494571373936e-05,1.9683154782396465e-05,0.8
4155,0.0002561929262423529,0.0002269863670211562,0.6
4173,1.805070674700268e-05,1.5967069215247e-05,1.0
4193,8.676325021298031e-05,5.7680704390466016e-05,0.8
4219,0.00015198302625793356,7.50106482862051e-05,1.0
4470,0.00013957308097273103,8.226026596840714e-05,0.8
4518,9.295969771184258e-05,8.277523717118398e-05,0.8
4957,0.0001564125805544823,0.00011334301270924574,0.6
5173,7.91344656235186e-05,5.7851851420943737e-05,1.0
5510,0.00012115251298213861,8.256149579608841e-05,0.8
6367,6.03525487696294e-05,4.063392450581706e-05,1.0
6647,5.5345279282063445e-05,5.0025848434732466e-05,0.8
6827,4.7725721197272944e-05,4.4646123445541914e-05,0.6
7180,7.748534017467851e-05,4.912328411802954e-05,0.8
7845,8.187475595527202e-05,5.8027132424999215e-05,0.8
8190,8.54923517870687e-05,6.722063661334034e-05,0.8
8534,0.00011832723679151064,7.738047233125865e-05,0.8
9222,5.81501404468495e-05,4.927833008739038e-05,0.6
9367,3.9911768243338294e-05,2.921191590845898e-05,0.8
9438,4.5774610263836046e-05,3.839071068823016e-05,1.0
9665,7.463813363551047e-05,5.562595751214589e-05,0.8
9846,5.7960844033942294e-05,5.471624596759412e-05,0.8
9972,4.0630088399985115e-05,3.323887388455498e-05,0.8
10111,8.273221958031955e-05,5.59786454379499e-05,0.8
10702,0.00013044692719217278,7.033751069875217e-05,0.8
11041,4.654506500614372e-05,4.047249360046075e-05,1.0
11589,4.730342316801421e-05,3.416904021580791e-05,0.6
12703,8.917776728146866e-05,6.972121792895745e-05,0.8
12760,7.359473465945305e-05,5.184315297231505e-05,1.0
13821,3.3029499042567746e-05,2.8834484709912173e-05,1.0
14111,0.00017100802147575688,0.00010879810039030823,0.8
14305,4.634419484732762e-05,3.442711087569487e-05,0.8
15092,6.50402683867878e-05,5.4860853525201505e-05,1.0
15703,2.91464062056183e-05,1.8924343570170452e-05,1.0
15938,1.4859971644969268e-05,9.450975538759112e-06,1.0
16793,0.00012712094747442665,0.00010960760037953039,0.8
17034,5.545501020732509e-05,4.2869322723885246e-05,0.8
17210,2.7110643842210082e-05,2.3837630942803994e-05,1.0
17217,3.918862923153499e-05,3.2899240246412856e-05,0.8
17259,1.5991953156775512e-05,1.2706757789247501e-05,1.0
17355,2.5557151662112305e-05,2.0760538055581983e-05,1.0
19104,0.00012706288677291998,8.691242870505535e-05,1.0
19476,0.00012033548255497685,8.226923898041894e-05,0.8
20268,6.127364034861834e-05,5.566200360078367e-05,0.8
20326,1.0949146434447943e-05,8.2076532362242e-06,1.0
20453,1.5909606998004204e-05,1.379331691213193e-05,0.6
20770,4.232512819199325e-05,2.049781785536314e-05,0.8
20785,7.703899336425453e-05,6.97699251468103e-05,1.0
20843,0.00017300238252858152,0.00014770813855718672,0.8
21307,6.134078192064548e-05,5.599652542294723e-05,0.8
21920,6.27979621535004e-05,4.240161208512653e-05,1.0
22752,5.2581836078964976e-05,4.593022299558333e-05,1.0
22903,7.733735512562188e-05,6.550713864978139e-05,1.0
22928,3.9335677767215536e-05,3.0112706309141012e-05,1.0
22946,2.8929569900743225e-05,2.7598809492463745e-05,1.0
23405,2.399130392504911e-05,1.4431259907965888e-05,0.6
24143,7.647835487369631e-05,6.319926938158852e-05,0.8
24523,6.057100376412406e-05,3.495249486585949e-05,1.0
